city,week,rides_thousands,population_m,income_k,drivers_k,lyft_share_pct,is_treated_unit,post_period
Austin,1,97.10509572322474,1.8,72.0,9.5,38.0,1,0
Austin,2,93.09362250704991,1.8,72.0,9.5,38.0,1,0
Austin,3,95.90698835298465,1.8,72.0,9.5,38.0,1,0
Austin,4,97.47019726951937,1.8,72.0,9.5,38.0,1,0
Austin,5,97.89766748335246,1.8,72.0,9.5,38.0,1,0
Austin,6,95.20304977010456,1.8,72.0,9.5,38.0,1,0
Austin,7,97.90960684936157,1.8,72.0,9.5,38.0,1,0
Austin,8,97.46273715304541,1.8,72.0,9.5,38.0,1,0
Austin,9,97.71881014693656,1.8,72.0,9.5,38.0,1,0
Austin,10,96.70691302462374,1.8,72.0,9.5,38.0,1,0
Austin,11,97.8121980473536,1.8,72.0,9.5,38.0,1,0
Austin,12,97.84816813966398,1.8,72.0,9.5,38.0,1,0
Austin,13,96.17712737095965,1.8,72.0,9.5,38.0,1,0
Austin,14,93.80763639012694,1.8,72.0,9.5,38.0,1,0
Austin,15,98.57045918045553,1.8,72.0,9.5,38.0,1,0
Austin,16,98.62992068105622,1.8,72.0,9.5,38.0,1,0
Austin,17,98.40302461812769,1.8,72.0,9.5,38.0,1,0
Austin,18,97.1768899603134,1.8,72.0,9.5,38.0,1,0
Austin,19,97.32491206247461,1.8,72.0,9.5,38.0,1,0
Austin,20,96.07386331879331,1.8,72.0,9.5,38.0,1,0
Austin,21,110.0664281957558,1.8,72.0,9.5,38.0,1,1
Austin,22,107.97866537775688,1.8,72.0,9.5,38.0,1,1
Austin,23,109.37037495995045,1.8,72.0,9.5,38.0,1,1
Austin,24,107.9632381930804,1.8,72.0,9.5,38.0,1,1
Austin,25,105.48458770086549,1.8,72.0,9.5,38.0,1,1
Austin,26,109.80219902532382,1.8,72.0,9.5,38.0,1,1
Austin,27,110.52809431391542,1.8,72.0,9.5,38.0,1,1
Austin,28,111.54384876932562,1.8,72.0,9.5,38.0,1,1
Austin,29,109.10615596357617,1.8,72.0,9.5,38.0,1,1
Austin,30,108.78980305456547,1.8,72.0,9.5,38.0,1,1
Austin,31,109.78620184472895,1.8,72.0,9.5,38.0,1,1
Austin,32,108.3761197456221,1.8,72.0,9.5,38.0,1,1
Nashville,1,83.6426516673331,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,2,84.53825330598906,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,3,86.67510760129761,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,4,85.51236659070966,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,5,86.53387436731833,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,6,86.27212183725922,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,7,84.96584091210535,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,8,86.52993995224287,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,9,85.64968274635154,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,10,85.79273034835975,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,11,86.44619807015506,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,12,84.64848079992778,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,13,88.0601966126725,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,14,85.97428967754159,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,15,88.12992059134186,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,16,87.24318263637426,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,17,89.06803698330508,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,18,86.58763399120033,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,19,87.15544345998661,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,20,88.0849202396211,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,0
Nashville,21,85.18063196991075,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
Nashville,22,88.973103017621,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
Nashville,23,89.97955376137925,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
Nashville,24,89.63176543966856,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
Nashville,25,89.33532086092521,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
Nashville,26,88.40442381601225,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
Nashville,27,90.26787996022217,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
Nashville,28,90.16843403411684,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
Nashville,29,89.50074230124325,2.1027033068231193,80.58814039568102,3.5590580640256597,44.680788251921726,0,1
